No_Causa,No_Efeito,Direcao,Causa_Original,Efeito_Original,Score_Relacao,Arquivo_Origem,Sentenca_Original
Ame,Fator de Risco,Causa -> Efeito,a AME,o risco de eventos CV fatais e não fatais e de mortalidade,15.96,OK SBV HAS Resistente 2020.pdf,"Uma nova análise do mesmo grupo, porém envolvendo 1.048 pacientes, identificou que a AME aumenta em 40% o risco de eventos CV fatais e não fatais e de mortalidade"
Sra,Pressão Arterial (PA),Causa -> Efeito,o SRA,"para uma série de eventos prejudiciais aos rins , vasos e coração , associados , principalmente , ao infarto do miocárdio",15.38,OK Capítulo HAS pesquisa_aplicada_inovacao_vol3_repositorio (1).pdf,"Em condições de hiperatividade, o SRA contribui significativamente para uma série de eventos prejudiciais aos rins, vasos e coração, associados, principalmente, ao infarto do miocárdio, à hipertrofia cardíaca, à aterosclerose e à insuficiência cardíaca (QUEIROZ; CALZERRA; GOMES, 2018;"
Pressão Arterial (PA),Consumo de Sal / Sódio,Causa -> Efeito,A empagliflozina,a excreção urinária de glicose e sódio,15.24,OK Insulina e HAS.pdf,A empagliflozina aumentou a excreção urinária de glicose e sódio no período TCMEMPA.
Sna,Pressão Arterial (PA),Causa -> Efeito,o SNA,"a variação da frequência cardíaca ( VFC ) , pressão arterial a níveis inferiores ao da vigilia",15.2,OK SAO sono e HAS.pdf,"Durante o sono normal, há alterações na atividade nervosa simpática (SNA) que são rigorosamente reguladas pelo estado do sono, o SNA promove a variação da frequência cardíaca (VFC), pressão arterial a níveis inferiores ao da vigilia, e isso garante a homeostase cardiovascular no período do sono e descanso (HORNYAK et al., 1991 ;"
Pressão Arterial (PA),Fator de Risco,Causa -> Efeito,"A associação de A. sativum e anticoagulantes orais , heparina , agentes trombolíticos , antiagregantes plaquetários e anti-inflamatórios","o risco de hemorragias , sangramentos espontâneos e desordens plaquetárias",15.13,OK PLantas medicinais e farmacologia.pdf,"A associação de A. sativum e anticoagulantes orais, heparina, agentes trombolíticos, antiagregantes plaquetários e anti-inflamatórios não-esteroidais eleva o risco de hemorragias, sangramentos espontâneos e desordens plaquetárias."
Pressão Arterial (PA),Diabetes / Glicemia,Causa -> Efeito,A sobreposição espacial da SNX5 à IDE próxima à membrana apical no TP,os níveis de insulina circulantes,15.06,OK Insulina e HAS.pdf,"A sobreposição espacial da SNX5 à IDE próxima à membrana apical no TP reduz os níveis de insulina circulantes enquanto a deficiência de uma ou de ambas leva ao seu aumento, com consequente diminuição da expressão dos IRec induzindo resistência à ação da insulina (IR) (34,35)."
Consumo de Álcool,Pressão Arterial (PA),Causa -> Efeito,O abuso crônico de bebidas alcoólicas,"estresse oxidativo no miocárdio , mecanismo central para a apoptose dos cardiomiócitos , disfunção mitocondrial , de síntese proteica e disfunção da contratilidade cardíaca",14.5,OK Síndrome Metabólica e HAS 3.pdf,"O abuso crônico de bebidas alcoólicas causa estresse oxidativo no miocárdio, mecanismo central para a apoptose dos cardiomiócitos, disfunção mitocondrial, diminuição de síntese proteica e disfunção da contratilidade cardíaca."
Pressão Arterial (PA),Diabetes / Glicemia,Causa -> Efeito,"A inibição aguda do SGLT2 pela empagliflozina , ainda que incompleta ,","o aumento esperado na excreção de sódio e glicose , que foi amplificado pela subsequente hiperglicemia",14.31,OK Insulina e HAS.pdf,"A inibição aguda do SGLT2 pela empagliflozina, ainda que incompleta, causou o aumento esperado na excreção de sódio e glicose, que foi amplificado pela subsequente hiperglicemia."
Ri,Fator de Risco,Causa -> Efeito,a RI,"o risco de SM , DM2 e DCV entre os adolescentes",14.22,OK Síndrome Metabólica e HAS.pdf,"Dessa forma, a RI tem aumentando o risco de SM, DM2 e DCV entre os adolescentes, especialmente naqueles com excesso de peso (DAMIANI et al., 2011; CHAVEZ; SUMMERS, 2012;"
Pressão Arterial (PA),Consumo de Sal / Sódio,Causa -> Efeito,o aumento da deposição de gordura nas paredes da faringe devido ao uso de corticosteroides ou à obesidade,a um diâmetro transversal das VAS,14.14,OK Distúrbios Respiratórios do Sono e HAS.pdf,"A infiltração inflamatória das VAS na AB, o aumento da deposição de gordura nas paredes da faringe devido ao uso de corticosteroides ou à obesidade levam a um diâmetro transversal diminuído das VAS, favorecendo a ocorrência da AOS."
Estresse,Pressão Arterial (PA),Causa -> Efeito,"os efeitos negativos do TMAO na disfunção endotelial , aterosclerose , inflamação e estresse oxidativo",à hipótese de que ele também está associado na DRD a um mecanismo fisiopatológico semelhante,13.83,OK TMAO Microbiota Intetsinal.pdf,"No entanto, os efeitos negativos do TMAO na disfunção endotelial, aterosclerose, inflamação e estresse oxidativo levaram à hipótese de que ele também está associado na DRD a um mecanismo fisiopatológico semelhante."
Diabetes / Glicemia,Consumo de Sal / Sódio,Causa -> Efeito,uma infusão de insulina exógena,a reabsorção de glicose e sódio,13.66,OK Insulina e HAS.pdf,O achado principal deste estudo é que uma infusão de insulina exógena reduz simultaneamente a reabsorção de glicose e sódio.
Diabetes / Glicemia,Consumo de Sal / Sódio,Causa -> Efeito,"Níveis insulinêmicos fisiológicos pós-prandiais obtidos por infusão aguda de insulina , sob condições de hiperglicemia ,",a excreção urinária de glicose e sódio simultaneamente,13.54,OK Insulina e HAS.pdf,"Níveis insulinêmicos fisiológicos pós-prandiais obtidos por infusão aguda de insulina, sob condições de hiperglicemia, aumentaram a excreção urinária de glicose e sódio simultaneamente, indicando uma possível ação da insulina na reabsorção de glicose pelos SGLTs."
Pressão Arterial (PA),Doenças Cardiovasculares (DVC),Causa -> Efeito,O estado de vigília em transição para o sono nREM,em alterações na regulação respiratória e cardiovascular,13.35,OK SAO sono e HAS.pdf,O estado de vigília em transição para o sono nREM resulta em alterações na regulação respiratória e cardiovascular.
Estresse,Pressão Arterial (PA),Causa -> Efeito,A indução de hipoxemia intermitente e estresse oxidativo consequente,"lesão endotelial vascular e a do oxido nítrico , levando ao aumento da pressão arterial sistêmica e da presença de doenças coronarianas ( HOU , et al",13.25,OK SAO sono e HAS.pdf,"A indução de hipoxemia intermitente e estresse oxidativo consequente, acarretam lesão endotelial vascular e a diminuição do oxido nítrico, levando ao aumento da pressão arterial sistêmica e da presença de doenças coronarianas (HOU, et al., 2018; RANDERATH, et al., 2019)."
Consumo de Álcool,Pressão Arterial (PA),Causa -> Efeito,O consumo excessivo de álcool,para a o descontrole da PA,13.24,OK Capítulo HAS pesquisa_aplicada_inovacao_vol3_repositorio (1).pdf,O consumo excessivo de álcool também contribui significativamente para a o descontrole da PA.
Diabetes / Glicemia,Pressão Arterial (PA),Causa -> Efeito,"O uso do tempo 240 a 360min em vez de 180 a 360min , ainda que estabelecido devido ao atraso no efeito da insulina ,",o impacto deste fator de erro,13.24,OK Insulina e HAS.pdf,"O uso do tempo 240 a 360min em vez de 180 a 360min, ainda que estabelecido devido ao atraso no efeito da insulina, diminui o impacto deste fator de erro na comparação entre os períodos CT e INS caso o voluntário tenha retido urina"
Dieta / Alimentação,Pressão Arterial (PA),Causa -> Efeito,", hábitos alimentares inadequados e uso de drogas lícitas ou ilícitas","um grande impacto sobre a pressão arterial ( Castro , Maria",13.07,OK Insônia e HAS.pdf,"Nesse sentido, obesidade, hábitos alimentares inadequados e uso de drogas lícitas ou ilícitas causam um grande impacto sobre a pressão arterial (Castro, Maria; 2005), o que impediu o presente estudo de confirmar se apenas o comportamento relacionado ao sono pode influenciar o desenvolvimento de hipertensão arterial como um fator isolado."
Consumo de Álcool,Pressão Arterial (PA),Causa -> Efeito,o consumo excessivo de álcool,para a dificuldade no controle da PA;138 afinal,13.04,OK SBV HAS Resistente 2020.pdf,"o consumo excessivo de álcool contribui significativamente para a dificuldade no controle da PA;138 afinal, o consumo diário de mais de dois “drinks” (cerca de 24 g/dia) associa-se à elevação dos níveis pressóricos.139"
Pressão Arterial (PA),Fator de Risco,Causa -> Efeito,"o atenolol , comparado com os demais anti-hipertensivos ,",o risco de AVE,12.88,OK Diretriz-HAS-2020.pdf,"A metanálise534 também identificou que o atenolol, comparado com os demais anti-hipertensivos, aumenta o risco de AVE em 26% e a mortalidade geral em 8%, ambos estatisticamente significantes."
Bb,Fator de Risco,Causa -> Efeito,os BB,o risco de AVE,12.87,OK Diretriz-HAS-2020.pdf,"Observou-se que, comparativamente com os demais agentes anti-hipertensivos (DIU, BCC, IECA, BRA), os BB aumentam em 16% o risco de AVE."
Estresse,Pressão Arterial (PA),Causa -> Efeito,Situações de estresse,"a liberação de hormônios como a adrenalina e o cortisol , que podem causar aumentos temporários na pressão arterial e , a longo prazo , contribuir para a hipertensão",12.65,Hipertensão+Arterial+Sistêmica+Uma+revisão+da+literatura+atual.pdf,"Situações de estresse elevam a liberação de hormônios como a adrenalina e o cortisol, que podem causar aumentos temporários na pressão arterial e, a longo prazo, contribuir para a hipertensão."
Consumo de Sal / Sódio,Pressão Arterial (PA),Causa -> Efeito,uma modesta e prolongada da ingestão de sal,uma queda significativa da PA,12.63,OK EXERCÍCIOS AERÓBIOS COMBINADOS COM EXERCÍCIO RESISTIDO.pdf,"O trabalho ainda aponta que uma redução modesta e prolongada da ingestão de sal induz uma queda significativa da PA, tanto em indivíduos hipertensos como normotensos, independentemente do sexo e grupo étnico, com quedas maiores da PAS para maiores reduções do sal alimentar."
Atividade Física / Sedentarismo,Pressão Arterial (PA),Causa -> Efeito,"do que em não resistentes.40,141 Exercício aeróbico regular","a PA de consultório e a ambulatorial em hipertensos resistentes, 142-145",12.55,OK SBV HAS Resistente 2020.pdf,"Apesar de avaliada apenas em pequenos grupos de hipertensos resistentes, a atividade física é provavelmente tão ou mais benéfica nestes do que em não resistentes.40,141 Exercício aeróbico regular diminui a PA de consultório e a ambulatorial em hipertensos resistentes,142-145 além de atenuar a característica ativação neuro-humoral.146 Não obstante a inexistência de estudos sobre exercício resistido nesse subgrupo, supõe-se haver vantagem ao menos semelhante à observada em hipertensos não resistentes.147"
Diabetes / Glicemia,Pressão Arterial (PA),Causa -> Efeito,", Diabetes Mellitus tipo 2 ( DM2 ) e SM ( HUANG S , et al","de risco para gota , hipertensão , dislipidemia , resistência à insulina",12.51,OK Ácido úrico e sindrome metabólica.pdf,"Ambos são fatores de risco para gota, hipertensão, dislipidemia, resistência à insulina, Diabetes Mellitus tipo 2 (DM2) e SM (HUANG S, et al., 2017; CALICETI C, et al., 2017)."
Saos,Pressão Arterial (PA),Causa -> Efeito,a SAOS,para a gênese da HAS ( Hipertensão Arterial Sistêmica ),12.35,OK Apnéia obstrututiva do sono e HAS 2.pdf,"Existem evidências crescentes de que a SAOS e a HAS muitas vezes coexistem não só porque têm fatores de risco comuns (obesidade, inatividade física e idade) mas, também porque a SAOS contribui para a gênese da HAS (Hipertensão Arterial Sistêmica)."
Obesidade / Sobrepeso,Fator de Risco,Causa -> Efeito,a obesidade visceral,o risco de SM ( CHEN et al,12.24,OK Síndrome Metabólica e HAS.pdf,"A distribuição da gordura corporal também tem grande influência sobre as alterações metabólicas, de forma que a obesidade visceral aumenta ainda mais o risco de SM (CHEN et al., 2012; ABESO, 2016)."
Pressão Arterial (PA),Fator de Risco,Causa -> Efeito,O uso de ocitocina em pacientes com cesárea anterior,o risco relativo de ruptura uterina,12.22,OK manual_gestacao_alto_risco.pdf,"O uso de ocitocina em pacientes com cesárea anterior aumenta o risco relativo de ruptura uterina, porém o risco absoluto é pequeno e comparável àquele observado em pacientes com cesárea prévia e trabalho de parto espontâneo."
Atividade Física / Sedentarismo,Pressão Arterial (PA),Causa -> Efeito,a realização de exercício físico aeróbico regular,"à uma de 3,0 mmHg na PAS e de 2,4mmHg na PAD",12.2,OK Polimorfismos ECA e anti_hipertensivos.pdf,"Diversos estudos trazem como resultados que a prática frequente de atividade física é uma medida importante para a prevenção e tratamento da HA, sendo que a realização de exercício físico aeróbico regular leva à uma redução de 3,0 mmHg na PAS e de 2,4mmHg na PAD"
Saos,Fator de Risco,Causa -> Efeito,a SAOS,o risco de morbimortalidade,12.2,OK SAO sono e HAS.pdf,Quando não tratada adequadamente a SAOS aumenta o risco de morbimortalidade por todas as causas Drager et al.
Dieta / Alimentação,Doenças Cardiovasculares (DVC),Causa -> Efeito,Essa dieta,"o risco de problemas cardiovasculares413,414 ( GR : IIa , NE",12.19,OK Diretriz-HAS-2020.pdf,"Essa dieta reduz o risco de problemas cardiovasculares413,414 (GR: IIa, NE: A), mas os efeitos sobre a pressão são modestos414-417 (GR: IIa, NE: B)."
Consumo de Álcool,Pressão Arterial (PA),Causa -> Efeito,o uso nocivo do álcool,perdas sociais e econômicas significativas para os indivíduos e para a sociedade em geral,12.04,OK Álcool - OPAS_OMS _ Organização Pan-Americana da Saúde.pdf,"Além das consequências para a saúde, o uso nocivo do álcool provoca perdas sociais e econômicas significativas para os indivíduos e para a sociedade em geral."
Consumo de Sal / Sódio,Pressão Arterial (PA),Causa -> Efeito,seis estudos com dois meses a três anos com alta qualidade que utilizaram substitutos do sal ( cloreto de potássio em substituição ao cloreto de sódio variando de 25 % a 50 % ),a PAS,12.03,OK Diretriz-HAS-2020.pdf,"Uma metanálise de intervenções com restrição de sódio mostrou que seis estudos com dois meses a três anos com alta qualidade que utilizaram substitutos do sal (cloreto de potássio em substituição ao cloreto de sódio variando de 25% a 50%) reduziram significativamente a PAS (-5,7 mmHg;"
Pressão Arterial (PA),Estresse,Causa -> Efeito,", a resistência vascular e a pressão arterial ,","estresse oxidativo com formação de radicais livres , aumento de citocinas inflamatórias , de substâncias vasoconstritoras , e das substâncias vasodilatadoras",12.03,OK Distúrbios Respiratórios do Sono e HAS 2.pdf,"Nesse contexto a SAHOS pode estar envolvida no início, progressão e resistência às estratégias terapêuticas convencionais para doenças cardiovasculares (DCV), pois a obstrução da VAS durante o sono leva a hipoxemia e hipercapnia, que ativam o sistema nervoso simpático, aumentando a frequência cardíaca, a resistência vascular e a pressão arterial, provocam estresse oxidativo com formação de radicais livres, aumento de citocinas inflamatórias, de substâncias vasoconstritoras, e diminuição das substâncias vasodilatadoras, causando disfunção endotelial6."
Consumo de Sal / Sódio,Pressão Arterial (PA),Causa -> Efeito,A associação da dieta DASH com restrição de sódio406,"em na PA sistólica ( PAS ) de 11,5 mmHg nos indivíduos hipertensos e 7,1 mmHg",11.98,OK Diretriz-HAS-2020.pdf,"A associação da dieta DASH com restrição de sódio406 resultou em redução na PA sistólica (PAS) de 11,5 mmHg nos indivíduos hipertensos e 7,1 mmHg nos normotensos, em comparação com a dieta com alto teor de sódio."
Fator de Risco,Hipertensão Arterial (HAS),Causa -> Efeito,a CC acima do marcador de risco,a chance de HAS,11.88,OK Distúrbios Respiratórios do Sono e HAS 2.pdf,"É evidenciado na literatura que a CC acima do marcador de risco aumenta a chance de HAS em 2,38 vezes, o sobrepeso em 5,11 vezes e a obesidade em 6,40 vezes, associados a isso, a presente pesquisa evidenciou que o aumento de 1cm na CC aumenta em 19% a chance de alto risco para SAHOS, e que pré-obesos e obesos grau"
Hipertensão Arterial (HAS),Pressão Arterial (PA),Causa -> Efeito,diversas linhas de pesquisas,para o desenvolvimento e uso das espécies vegetais disponíveis em nosso território,11.84,OK Síndrome Metabólica e HAS 3.pdf,"Além disso, diversas linhas de pesquisas têm contribuído significativamente para o desenvolvimento e uso das espécies vegetais disponíveis em nosso território."
Hipertensão Arterial (HAS),Pressão Arterial (PA),Causa -> Efeito,a HAS crônica na gravidez,"de 1,1 % para 1,7 % , e a pré-eclâmpsia / eclâmpsia de 0,9 % para 1,2 %",11.83,OK Diretrizes Medicamentos HAS OPAS OMS.pdf,"Por exemplo, nos Estados Unidos, entre 1998 e 2006, os distúrbios hipertensivos na gravidez aumentaram de 6,7% para 8,3%, a HAS crônica na gravidez aumentou de 1,1% para 1,7%, e a pré-eclâmpsia/eclâmpsia de 0,9% para 1,2%."
Dieta / Alimentação,Pressão Arterial (PA),Causa -> Efeito,"a suplementação de potássio , elemento abundante em dietas vegetarianas ,",a PA,11.82,OK Alimentação Vegetariana e HAS.pdf,"Metanálises de ensaios clínicos randomizados descreveram que a suplementação de potássio, elemento abundante em dietas vegetarianas, diminui a PA."
Pressão Arterial (PA),Dislipidemia / Colesterol,Causa -> Efeito,a do consumo de sal na dieta para valores mais baixos,um aumento significativo no colesterol e nos triglicerídeos plasmáticos,11.78,OK Pontes Sal e HAS.pdf,"Concomitantemente, a redução do consumo de sal na dieta para valores mais baixos acarretava um aumento significativo no colesterol e nos triglicerídeos plasmáticos."
Tabagismo,Pressão Arterial (PA),Causa -> Efeito,o tabagismo,para o desenvolvimento e a progressão da hipertensão,11.74,Hipertensão+Arterial+Sistêmica+Uma+revisão+da+literatura+atual.pdf,"Cessação do Tabagismo Parar de fumar é crucial, pois o tabagismo contribui para o desenvolvimento e a progressão da hipertensão e aumenta o risco de doenças cardiovasculares."
Consumo de Sal / Sódio,Pressão Arterial (PA),Causa -> Efeito,"a de apenas 1,3 g na quantidade de sódio consumida",uma de 5 mmHg na pressão arterial,11.73,OK Especiarias como sugestão de substituição do sal.pdf,"Acredita-se que a diminuição de apenas 1,3g na quantidade de sódio consumida diariamente ocasionaria uma redução de 5 mmHg na pressão arterial, resultando em redução de 20% na prevalência de hipertensão arterial (BORJES; TECHIO;"
Dieta / Alimentação,Fator de Risco,Causa -> Efeito,"As modificações no consumo alimentar , em associação com outros fatores relacionados ao estilo de vida moderno ,",o risco de desenvolvimento e agravamento das doenças crônicas não-transmissíveis ( DCNT ),11.69,OK Consumo alimentar e DCV.pdf,"As modificações no consumo alimentar, em associação com outros fatores relacionados ao estilo de vida moderno, aumentaram o risco de desenvolvimento e agravamento das doenças crônicas não-transmissíveis (DCNT), como as doenças cardiovasculares, diabetes mellitus tipo 2 (DM 2), obesidade, síndrome metabólica e alguns tipos de câncer ."
Diabetes / Glicemia,Fator de Risco,Causa -> Efeito,Hiperglicemia na gestação,o risco de morbidade materna e perinatal,11.65,OK manual_gestacao_alto_risco.pdf,"Hiperglicemia na gestação aumenta o risco de morbidade materna e perinatal, com repercussões em médio e longo prazo, tanto para a mãe como para o seu filho, conforme assinala o Quadro 1."
Agti,Fator de Risco,Causa -> Efeito,os AGTI,o risco de DCV,11.63,OK Acidosgraxotrans__ANVISA.pdf,"As principais conclusões obtidas por meio desta iniciativa foram: ✓ os AGTI aumentam o risco de DCV e não há um limite de consumo seguro destas substâncias; ✓ apesar do impacto positivo das medidas regulatórias da Anvisa e dos esforços realizados por certos segmentos do setor produtivo, os OGPH ainda estão presentes em produtos industrializados e nossa população ingere teores elevados destas substâncias;"
